Model,Hotel,Feature,C,l1_ratio,CV_AUC,CV_AUC_std,max_depth,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
Logistic Regression,Resort Hotel (H1),Without Holiday,100.0,1.0,0.9093,0.0033,,,,,,
Random Forest,Resort Hotel (H1),Without Holiday,,,0.9553,0.0029,,1.0,2.0,200.0,,
XGBoost,Resort Hotel (H1),Without Holiday,,,0.955,0.0034,7.0,,,200.0,0.1,0.8
Logistic Regression,Resort Hotel (H1),With Holiday,100.0,1.0,0.9093,0.0034,,,,,,
Random Forest,Resort Hotel (H1),With Holiday,,,0.9555,0.0031,,1.0,2.0,200.0,,
XGBoost,Resort Hotel (H1),With Holiday,,,0.9548,0.0029,7.0,,,200.0,0.1,0.8
Logistic Regression,City Hotel (H2),Without Holiday,100.0,0.0,0.8789,0.0049,,,,,,
Random Forest,City Hotel (H2),Without Holiday,,,0.9495,0.0016,,1.0,2.0,200.0,,
XGBoost,City Hotel (H2),Without Holiday,,,0.9461,0.0018,7.0,,,200.0,0.2,1.0
Logistic Regression,City Hotel (H2),With Holiday,100.0,1.0,0.8789,0.0049,,,,,,
Random Forest,City Hotel (H2),With Holiday,,,0.9496,0.0013,,1.0,2.0,200.0,,
XGBoost,City Hotel (H2),With Holiday,,,0.9464,0.002,7.0,,,200.0,0.2,1.0
