feature,mean_|SHAP|,pct_of_total,rank
total_of_special_requests,0.1079,13.28,1
country_PRT,0.1045,12.86,2
lead_time,0.0755,9.29,3
CT_Transient,0.0357,4.39,4
adr,0.0327,4.03,5
CT_Transient-Party,0.0309,3.8,6
MS_Online TA,0.0295,3.63,7
booking_changes,0.0283,3.48,8
previous_cancellations,0.0282,3.47,9
arrival_date_year,0.0259,3.19,10
MS_Groups,0.0219,2.69,11
ART_A,0.0218,2.69,12
arrival_date_week_number,0.0195,2.4,13
MS_Offline TA/TO,0.0164,2.01,14
arrival_date_day_of_month,0.0163,2.01,15
country_FRA,0.016,1.97,16
DCH_TA/TO,0.0153,1.88,17
stays_in_week_nights,0.0152,1.88,18
arrival_date_month,0.0139,1.71,19
country_DEU,0.013,1.59,20
holiday_x_domestic,0.0123,1.51,21
required_car_parking_spaces,0.0113,1.39,22
stays_in_weekend_nights,0.0108,1.32,23
ART_D,0.0098,1.2,24
adults,0.0091,1.12,25
meal,0.0078,0.96,26
DCH_Direct,0.0062,0.77,27
RRT_A,0.0061,0.75,28
MS_Direct,0.0054,0.66,29
country_ESP,0.0053,0.66,30
is_public_holiday,0.0046,0.56,31
children,0.0042,0.52,32
country_ITA,0.0041,0.5,33
country_GBR,0.004,0.49,34
RRT_D,0.004,0.49,35
agent_binary,0.0039,0.48,36
days_in_waiting_list,0.0033,0.41,37
company_binary,0.0031,0.38,38
country_NLD,0.0029,0.36,39
country_BEL,0.0028,0.35,40
country_BRA,0.0026,0.32,41
MS_Corporate,0.0022,0.27,42
previous_bookings_not_canceled,0.0022,0.27,43
CT_Contract,0.002,0.25,44
ART_B,0.0018,0.22,45
DCH_Corporate,0.0017,0.22,46
RRT_B,0.0016,0.2,47
is_repeated_guest,0.0016,0.2,48
country_USA,0.0012,0.15,49
ART_E,0.001,0.13,50
country_IRL,0.001,0.12,51
ART_F,0.0009,0.11,52
RRT_E,0.0008,0.1,53
ART_G,0.0008,0.1,54
RRT_F,0.0007,0.09,55
RRT_G,0.0004,0.05,56
MS_Complementary,0.0002,0.03,57
babies,0.0002,0.03,58
ART_C,0.0001,0.01,59
RRT_C,0.0,0.0,60
RRT_H,0.0,0.0,62
ART_I,0.0,0.0,62
ART_J,0.0,0.0,62
ART_H,0.0,0.0,62
